P0010, Camera,N/A, 2021/09/01, 2023/10/02, 3232.0, 9, 0
P0009, Pen, N/A, 2021/12/01, 2023/02/01, 3232.0, 3, 0
P0008, Pizza, S, 2023/09/01, 2023/11/02, 3232.0, 93, 1
P0005, filtered water, 4444, 2023/06/01, 2023/11/08, 3232.0, 2, 0
P0004, soft drinks, M, 2023/05/01, 2023/10/07, 3232.0, 57, 0
P0007, sticky rice, L, 2023/08/01, 2023/15/03, 3232.0, 26, 1
P0006, dumplings, S, 2023/07/01, 2023/12/05, 3232.0, 1, 1
P0001, bread, L, 2023/02/01, 2025/09/12, 9.9999999E7, 92, 1
P0000, snacks, M, 2023/09/01, 2023/08/08, 3232.0, 0, 0
P1235, cookies, M, 2019/09/11, 2024/10/10, 90000.0, 100, 0
P0002, Choco-pie, S, 2023/03/01, 2023/05/05, 2000.0, 15, 0
